"uid","summary","start","end","description","last.modified","status"
"5uofn3ll1h09nt3stnl774bh19@google.com","הנשים של רחוב הנביאים ","2024/05/02 18:30:00","2024/05/02 21:00:00","סיור בעקבות נשים מעוררות השראה ברחוב הנביאים בירושלים.

מעבירת הסיור:
אורנה שמחי הירש, מורת דרך. 

מתחילות את הסיור ברחוב שבטי ישראל בירושלים. נתקדם לאורך רחוב הנביאים עם כניסה לרחוב אתיופיה ונסיים אותו בבית אנה טיכו.

נעליים נוחות, מים, מתאים מגיל 12 ומעלה.

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/jdm-hggc-tzy

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 21:54:15","CONFIRMED"
"chhj2pj474rjebb16hgmab9kckpmcbb16him4bb265h68c34cgoj8ob3c4@google.com","חשיבה מקיימת - באזור תעשייה - תוך חיבור לטבע העירוני","2024/05/02 18:00:00","2024/05/02 20:00:00","חשיבה מקיימת - באזור תעשייה - תוך חיבור לטבע העירוני

עופר קרן - תושב שבי ציון בגליל - מוביל תהליכי התייעלות בצריכת משאבים תוך התאמה לשינויי האקלים.

מתאים לכולם - נדרש להגיע עם תעודה מזהה לכניסה לתוך מבנה מובילאי

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/hav-wusb-gkp

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 22:12:12","CONFIRMED"
"4jk93snn7h17qpkjradedpgu57@google.com","לאן רוכבים מכאן","2024/05/02 17:30:00","2024/05/02 19:00:00","מעביר הסיור: אורן לוטן, ירושלים, יועץ לנושאי תחבורת אופניים

סיור בעקבות תשתיות האופניים של ירושלים בראייה היסטורית של 20 השנים בתשתיות האופניים בעיר. בסיור יוצגו תשתיות רכיבה קיימות, חדשות ועתידיות בירושלים, יסופר הסיפור המכונן של תשתיות האופניים בירושלים, יוצגו המגמות והשינויים בתכנון, ותידון השאלה מהו תכנון מיטבי לרכיבה בעיר. משך הסיור כשעה וחצי.

יש להצטייד באופניים תקינים, בקסדה, בבקבוק מים ובחטיף אנרגיה או בפרי. דרגת הקושי בינונית. ההשתתפות בסיור באחריות הרוכבים.

מומלץ להגיע לנקודת המפגש כרבע שעה לפני תחילת הסיור לצורך התארגנות.

ניתן לשכור אופני ירופאן בנקודת ההתחלה. מומלץ להוריד את האפליקציה מראש ולוודא שישנם אופניים זמינים באזור התחנה.","2024/04/27 22:20:06","CONFIRMED"
"5h0om8fsqb4vtg9ksdb502mplv@google.com","מקור חיים - החלום ושברו","2024/05/02 09:00:00","2024/05/02 11:00:00","מעביר הסיור:
יורם קרצ'ין.  תושב השכונה מקור חיים קרוב לעשרים שנה. מעביר סיורים בשכונה במסגרת פעילות התנדבותית באירגון ""באים לטוב"".

נדמיין את עצמינו עומדים בשכונה בתקופות שונות במאה ה-20, נכיר סיפורי אנשים שבזכותם נבנתה השכונה, נדבר על חבלי לידתה ומשברי בגרותה. נחפש בתים היסטוריים מוסתרים בין הבניינים המודרניים ונשמע את סיפורם. נראה את בית הכנסת ההיסטורי ששימש מקלט לתושבי השכונה במאורעות תרפ""ט ותרצ""ו - תרצ""ט ואת בית הכנסת ""בית יוסף"", המשמר את מסורת יהודי תוניסיה. נסיים את הסיור בביתה של וותיקת השכונה חוה אהרוני, בתו של המוכתר האחרון של מקור חיים ונשמע את סיפורה.

מומלץ להביא כובע ומים. הסיור נגיש.","2024/04/27 22:34:46","CONFIRMED"
"5ths35k3g2fdukmehkngqb4ren@google.com","הליכה נורדית על ציר הרכבת הקלה","2024/05/02 17:30:00","2024/05/02 20:00:00","מעבירת ההליכה: מלכה אליהו קוסוביץמורת דרך, ומאמנת מוסמכת להליכה נורדית, מתגוררת בשכונת מקור ברוך, על ציר הרכבת הקלה, סמוך לשוק מחנה יהודה. 


יתרונות  ההליכה עם מקלות במרחב הציבורי גילוי והסתר, מיגדלים אומנות ושימור מול פיתוח.

מוזמנים הולכים.ות עם מקלות וגם כאלה שלא

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/uet-sbtg-frx

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 22:39:09","CONFIRMED"
"6os3adpjcpi3abb26lh36b9k70rj6bb26srj4b9g6pimap9n6gpm2d31cg@google.com","עם רגל בקבר: חוויה דתית בכנסיית הקבר","2024/05/04 17:00:00","2024/05/04 18:00:00","מעבירת הסיור: שחר שמש, בעלת תואר שני במדע הדתות ומורת דרך בהתהוות.

היכרות עם הכנסייה החשובה ביותר בעולם הנוצרי, בפרט דרך העיניים של העולה לרגל והמאמין. ההליכה תתמקד בחוויה ופחות בהיסטוריה היבשה.

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/ope-ozgj-vnd

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 22:59:36","CONFIRMED"
"3jvrrinjpun2763iarmhueid4i@google.com","מוצאי שבת האור","2024/05/04 21:30:00","2024/05/04 23:00:00","מעביר הסיור: יהונתן יפה נוף. מתגורר בירושלים ואוהב לשוטט בה.

ביקור בעיר העתיקה במוצאי שבת האור, חלק מחג הפסחא בנצרות המזרחית. במסגרת הסיור נלך למוקדים ברובע הנוצרי כמו שכונת הקופטים, כנסיית הקבר ומנזר דיר אל-סולטאן

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/aci-taxx-zoo

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 23:17:49","CONFIRMED"
"69i3id1lc5hjebb661ij8b9k75i32bb160pm8bb66cpmaphjc4pjidr3ck@google.com","בין צרפת לפת - סיור צמתים","2024/05/03 09:30:00","2024/05/03 12:00:00","מעביר הסיור: עידו קליין
דיון על אופי הרחובות עזה והרצוג, עם דגש על הצמתים הנמצאים לאורכם והחזון לרחובהליכה ארוכה בירידה. אין צל - להביא כובע. תיפתח קבוצת וואטסאפ ייעודית להליכה.","2024/04/27 23:25:15","CONFIRMED"
"6ubdc64upbi4pcsb51ga2g3ehc@google.com","גיבורות (על) הפלמ""ח","2024/05/04 17:30:00","2024/05/04 19:30:00","איתמר פרחי, מנהל שבאתי, מנהל הליכות ג'יין, כלכלן, מייסד הליין סטורי טלר, ממציא סיורים סאטירים, סלב ירושלמי רק בלי הכסף, התהילה והמעריצות...

סיור מעורר השראה, כל נשים, על גבורה וכל זה על רחוב אחד בלבד, רחוב הפלמ""ח, הרחוב הכי יפה בעולם.

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/fmp-jirn-yes

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 23:26:50","CONFIRMED"
"42uh4cgjirqp019i0h6o2ovov2@google.com","שכנים סמויים מן העין ","2024/05/03 09:30:00","2024/05/03 12:00:00","מעבירת הסיור: מירב בוננו גרה בגבעת משואה  בירושלים במקצוע צלמת סטילס ווידיאו תחביבים צילום ולהכיר מקומות חדשים ואנשים מעניינים(:

להכיר שכנים מעניינים ואת העשייה שלהם יותר מקרוב
 נכיר את ליאת שהקימה חמ""ל מדהים שמספק בקביעות חבילות מכל טוב  לחיילים ולמפונים במלחמה מתחילת המלחמה ועד עכשיו בעקביות מדהימה עם מתנדבים ונהגים חמ""ל שמתופעל היטב !!!! משם נלך להכיר את לואיזה חביליו שעשתה פרוייקט אמנותי יפה ציירה פורטרטים של כמה מתושבי השכונה  ומשם נלך להכיר את מנוחה דהן שגרה בקרית מנחם מנוחה שרה  ומספרת סיפורים על השכונה בראשיתה ואצלה נסיים את הסיור . 

יש סיכוי שיהיה חם להגיע עם מים וכובע

-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/rak-mwqj-bsi

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-","2024/04/27 23:36:01","CONFIRMED"
